,,PE_RATIO,EV_TO_T12M_EBITDA,INVENT_TURN,EBIT_MARGIN,NET_DEBT_TO_EBITDA,NET_FIX_ASSET_TURN,TRAILING_12M_CASH_FLOW_MARGIN,TRAIL_12M_NET_SALES
3377 HK Equity,20121231,7.066874869,9.708880941,0.175920221,26.72769627,4.874027485,3.433841619,-5.526918318,18751.227
1938 HK Equity,20121231,0.995565226,8.212013868,2.544629771,11.48559224,4.44843962,2.273166744,#N/A N/A,3801.319
680 HK Equity,20121231,#N/A N/A,#N/A N/A,0.096442433,-10.5733765,#N/A N/A,1.445079638,-9.630665097,2038.8
494 HK Equity,20121231,1.191355348,14.53974723,16.79178933,4.651162905,1.020427249,60.01342363,3.007583018,20359.704
1115 HK Equity,20121231,8.002533842,4.535581377,3.849825683,68.99057131,-1.93383448,2.344799985,54.36440204,670.825
498 HK Equity,20121231,4.586422213,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6261.667
286 HK Equity,20121231,161.38498,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.623
509 HK Equity,20121231,4.13306448,1.810759535,8.823324473,13.73103023,-1.774372446,1.574812638,#N/A N/A,994.543
1700043D HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,-14.81901461,#N/A N/A,#N/A N/A,#N/A N/A,1065.307
2380 HK Equity,20121231,11.59896794,11.84523867,#N/A N/A,15.64182416,9.193440909,0.337321772,12.40497881,17000.287
712 HK Equity,20121231,#N/A N/A,32.0213229,3.084368989,-3.334253639,8.525163364,1.037414398,23.16098378,898.252
604 HK Equity,20121231,7.646067917,10.66313434,0.264429079,27.85166466,6.724519357,1.137634276,-62.88170995,7165.683
2878 HK Equity,20121231,#N/A N/A,#N/A N/A,3.720919823,-22.56211931,#N/A N/A,7.03366202,#N/A N/A,51.715
2689 HK Equity,20121231,20.40022555,8.806543237,6.761629758,11.29939903,4.974345964,0.646422579,14.97015595,27169.737
279 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3618 HK Equity,20121231,7.070338099,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.306392377,#N/A N/A,22066.193
104 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1095.03
8207 HK Equity,20121231,0.149290175,4.865367289,#N/A N/A,#N/A N/A,0.473130735,76.3444217,#N/A N/A,298.354
272 HK Equity,20121231,2.168788297,16.49956748,0.24561039,32.66578726,10.2786246,0.208344785,-23.9597074,8339
1199 HK Equity,20121231,7.225261571,#N/A N/A,44.19015261,31.21138024,#N/A N/A,0.203625971,#N/A N/A,710.776
8137 HK Equity,20121231,#N/A N/A,#N/A N/A,129.683973,-17.49825086,#N/A N/A,2.97966169,-2.19275549,2514.097
254 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,-103.8916624,#N/A N/A,25.73495195,-78.09269232,25.439
201 HK Equity,20121231,4.661077292,18.21900591,6.004234455,37.9677072,5.753302306,0.084134823,55.40154616,454.157
106 HK Equity,20121231,21.24785195,3.31952543,0.089479832,55.37769781,-14.07781244,0.129851238,-288.3816792,77.83951318
3336 HK Equity,20121231,5.115606881,6.029790899,6.386028256,5.549484232,2.444874668,1.557867701,6.084863646,8895.187
2233 HK Equity,20121231,13.68336063,9.823108454,6.24137553,17.89859067,3.900027836,0.433857196,#N/A N/A,3067.627
3311 HK Equity,20121231,14.41220969,15.24422506,65.8128841,8.562088226,1.471205081,2.910462653,-8.734972778,19266.036
606 HK Equity,20121231,8.787889871,14.34618462,3.672843718,2.446101112,8.272633782,4.286440017,8.031986413,90415.641
3331 HK Equity,20121231,28.2702337,14.88222868,2.982310842,11.75686441,1.005329547,1.765854375,6.773393817,5458.170985
39 HK Equity,20121231,#N/A N/A,#N/A N/A,2.921313206,-36.1572839,#N/A N/A,0.630764442,#N/A N/A,232.039
3813 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11085.66708
2345 HK Equity,20121231,5.453423982,3.514374498,3.6869445,5.719657288,0.08833652,1.96303023,#N/A N/A,3476.502
390 HK Equity,20121231,13.85176653,8.20328877,4.037572709,3.207664373,4.912271727,8.294558281,-4.587155963,418560
2038 HK Equity,20121231,#N/A N/A,10.93974479,9.87945528,-2.47894273,-21.71111709,4.001075852,6.510033779,5864.839
817 HK Equity,20121231,22.92612384,8.875265559,0.527596271,58.9236988,2.969919666,0.170014338,-33.26547725,6834.428763
1088 HK Equity,20121231,5.725809461,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,232119
1137 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
527 HK Equity,20121231,4.820138076,23.47140395,2.564015032,7.724571215,5.523889051,2.777767848,#N/A N/A,683.792
83100 HK Equity,20121231,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
1378 HK Equity,20121231,4.410112067,2.239765882,8.789980721,33.27191459,0.378346289,1.430710856,22.04951862,24887.083
